 42.5         2.50G          1             4            .66           1.21          .82           10.63         -20.32        7.71          0             0             0
 42.5         2.50G          1             6            .37           1.21          .58           10.63         -37.06        12.03         0             0             0
 42.5         2.50G          1             8            .11           1.21          .44           10.63         -63.03        15.02         0             0             0
 45           5.00G          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 45           5.00G          1             2            .96           1.21          1.22          10.63         -7.76         2.33          25            36            32
 45           5.00G          1             4            .66           1.21          1.00          10.63         -20.54        5.14          0             0             0
 45           5.00G          1             6            .36           1.21          .86           10.63         -37.98        7.22          0             0             0
 45           5.00G          1             8            .12           1.21          .79           10.63         -61.54        8.23          0             0             0
 47.5         7.50G          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 47.5         7.50G          1             2            .96           1.21          1.31          10.63         -7.91         1.38          24            36            33
 47.5         7.50G          1             4            .66           1.21          1.18          10.63         -20.46        2.83          0             0             0
 47.5         7.50G          1             6            .36           1.21          1.12          10.63         -37.59        3.66          0             0             0
 47.5         7.50G          1             8            .13           1.21          1.11          10.63         -59.90        3.75          0             0             0
 50           10.00G         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 50           10.00G         1             2            .96           1.21          1.39          10.63         -8.02         .48           23            36            35
 50           10.00G         1             4            .66           1.21          1.38          10.63         -20.26        .59           0             0             0
 50           10.00G         1             6            .38           1.21          1.42          10.63         -36.53        .06           0             0             0
 50           10.00G         1             8            .15           1.21          1.55          10.63         -57.35        -1.26         0             0             0
 52.5         2.50BG         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 52.5         2.50BG         1             2            .96           1.21          1.51          10.63         -7.96         -.86          22            36            36
 52.5         2.50BG         1             4            .67           1.21          1.67          10.63         -19.97        -2.47         0             0             0
 52.5         2.50BG         1             6            .41           1.21          1.89          10.63         -34.26        -4.43         0             0             0
 52.5         2.50BG         1             8            .17           1.21          2.12          10.63         -55.13        -6.46         0             0             0
 55           5.00BG         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 55           5.00BG         1             2            .96           1.21          1.68          10.63         -7.72         -2.52         21            36            38
 55           5.00BG         1             4            .70           1.21          2.09          10.63         -18.42        -6.21         0             0             0
 55           5.00BG         1             6            .46           1.21          2.56          10.63         -30.95        -9.82         0             0             0
 57.5         7.50BG         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 57.5         7.50BG         1             2            .97           1.21          1.82          10.63         -7.36         -3.84         20            36            40
 57.5         7.50BG         1             4            .74           1.21          2.42          10.63         -16.54        -8.78         0             0             0
 57.5         7.50BG         1             6            .52           1.21          3.14          10.63         -27.84        -13.78        0             0             0
 60           10.00BG        1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 60           10.00BG        1             2            .99           1.21          2.00          10.63         -6.67         -5.40         19            36            42
 60           10.00BG        1             4            .80           1.21          2.83          10.63         -13.98        -11.75        0             0             0
 60           10.00BG        1             6            .61           1.21          3.86          10.63         -22.82        -18.02        0             0             0
 62.5         2.50B          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 62.5         2.50B          1             2            1.01          1.21          2.13          10.63         -6.00         -6.52         19            36            43
 62.5         2.50B          1             4            .86           1.21          3.14          10.63         -11.74        -13.74        0             0             0
 62.5         2.50B          1             6            .71           1.21          4.42          10.63         -18.11        -20.97        0             0             0
 65           5.00B          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 65           5.00B          1             2            1.04          1.21          2.27          10.63         -5.10         -7.67         19            36            45
 65           5.00B          1             4            .93           1.21          3.44          10.63         -8.94         -15.60        0             0             0
 65           5.00B          1             6            .84           1.21          4.88          10.63         -12.47        -23.22        0             0             0
 65           5.00B          1             8            .73           1.21          6.76          10.63         -17.11        -31.15        0             0             0
 67.5         7.50B          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 67.5         7.50B          1             2            1.08          1.21          2.41          10.63         -3.72         -8.69         21            35            46
 67.5         7.50B          1             4            1.01          1.21          3.68          10.63         -5.87         -17.02        0             0             0
 67.5         7.50B          1             6            .96           1.21          5.21          10.63         -7.76         -24.73        0             0             0
 67.5         7.50B          1             8            .92           1.21          7.33          10.63         -9.53         -33.24        0             0             0
 70           10.00B         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 70           10.00B         1             2            1.12          1.21          2.53          10.63         -2.14         -9.58         23            35            47
 70           10.00B         1             4            1.09          1.21          3.83          10.63         -3.11         -17.82        0             0             0
 70           10.00B         1             6            1.08          1.21          5.45          10.63         -3.63         -25.81        0             0             0
 70           10.00B         1             8            1.07          1.21          7.66          10.63         -3.89         -34.39        0             0             0
 72.5         2.50PB         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 72.5         2.50PB         1             2            1.18          1.21          2.61          10.63         -.22          -10.19        26            34            48
 72.5         2.50PB         1             4            1.20          1.21          3.92          10.63         .42           -18.35        9             35            58
 72.5         2.50PB         1             6            1.25          1.21          5.66          10.63         1.98          -26.69        0             0             0
